hospital_id,website,status,title,matched_reference_names,checked_at,automatic_identity_approval,error
cnha-cfdi-03936a7cc0a803336ea258b096c459d4,http://www.xyhospital.com/,readable,引导页-中国中医科学院西苑医院,中国中医科学院西苑医院,2026-09-05T02:39:53.112971+00:00,False,
cnha-cfdi-066b931bc0a8033351202887a2fd71fa,http://www.cmu1h.com/,challenge_or_noncontent,,,2026-09-05T02:36:03.343895+00:00,False,No usable public institution text
cnha-cfdi-0760f716c0a8033319b4c71d741cd396,http://www.ahnmc.com/,readable,南通大学附属医院[AFFILIATED HOSPITAL OF NANTONG UNIVERSITY],Affiliated Hospital of Nantong University | 南通大学附属医院,2026-09-05T02:35:37.678206+00:00,False,
cnha-cfdi-0b0c702ac0a803331bfa908b88234450,http://www.jlsyy.net/,readable,www.jlsyy.net-官网首页,,2026-09-05T02:37:24.331359+00:00,False,
cnha-cfdi-0b707dd0c0a8033311cd017b78273291,http://www.wfph.cn/,readable,三级甲等医院_山东省省级区域医疗中心,潍坊市人民医院,2026-09-05T02:39:34.542680+00:00,False,
cnha-cfdi-0cf24949c0a803332821abbd34763079,http://www.zzslyy.com/,readable,枣庄市立医院,枣庄市立医院,2026-09-05T02:40:33.381978+00:00,False,
cnha-cfdi-0d9e9d19c0a803332f2e459fefe8ecda,https://www.lnszl.com,unreadable,,,2026-09-05T02:40:56.443092+00:00,False,<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)>
cnha-cfdi-0db8a76bc0a8033343b0ed0176df3d0f,http://www.hnxkyy.com.cn/,readable,河南省胸科医院,河南省胸科医院,2026-09-05T02:37:02.298016+00:00,False,
cnha-cfdi-0e9edb94c0a8033322217b6117bae902,http://www.wzeye.cn/eyehospital/,unreadable,,,2026-09-05T02:39:41.435001+00:00,False,HTTP Error 404: Not Found
cnha-cfdi-0eb581dec0a80333092f49dd1bd60215,http://www.anti-cancer.com.cn/,readable,河南省肿瘤医院 郑州大学附属肿瘤医院,河南省肿瘤医院,2026-09-05T02:35:38.952549+00:00,False,
cnha-cfdi-0f27c805c0a803332ce19ba6a765712a,http://www.jnrmyy.com/index.html,unreadable,,,2026-09-05T02:37:24.744756+00:00,False,HTTP Error 403: Forbidden
cnha-cfdi-0f96ca2bc0a80333003c85b5667dfb42,http://www.cs4hospital.com/,unreadable,,,2026-09-05T02:36:06.087607+00:00,False,Remote end closed connection without response
cnha-cfdi-111a51ebc0a8033351ddc3e578d4d069,http://www.zzszxyy.cn/,readable,株洲市中心医院,株洲市中心医院,2026-09-05T02:40:34.116255+00:00,False,
cnha-cfdi-12ae2e13c0a803333503d61b7562910d,http://www.312000.net/english.aspx,unreadable,,,2026-09-05T02:35:34.298182+00:00,False,Remote end closed connection without response
cnha-cfdi-12ccb55bc0a80333400cfcf6fc52306b,https://www.shchildren.com.cn,readable,上海市儿童医院,上海市儿童医院,2026-09-05T02:41:00.039194+00:00,False,
cnha-cfdi-138b56c4c0a803330e40ef24ba80d41f,http://ch.shmu.edu.cn/,readable,复旦大学附属儿科医院,复旦大学附属儿科医院,2026-09-05T02:35:05.337239+00:00,False,
cnha-cfdi-13c9eaf7c0a8033352df6dbdc89113dd,http://www.tnsi.org/,readable,天津市环湖医院欢迎您！,天津市环湖医院,2026-09-05T02:39:25.394062+00:00,False,
cnha-cfdi-13cd3688c0a8033335a695c8d55c6e3d,http://www.cssdyyy.com/,unreadable,,,2026-09-05T02:36:06.595640+00:00,False,timed out
cnha-cfdi-14f98835c0a8033379ddb915cbbb848e,http://www.wzsrmyy.com/,readable,温州市人民医院|温州市妇幼保健院,温州市人民医院,2026-09-05T02:39:43.922312+00:00,False,
cnha-cfdi-16da30a1c0a80333093840cbb76504fe,http://www.bjzxyy.com/index.php,readable,宝鸡市中心医院_姜谭路院区,宝鸡市中心医院,2026-09-05T02:35:54.026682+00:00,False,
cnha-cfdi-17863a03c0a803336d8f6df97549f453,http://www.hnzoc.com/,readable,中山大学中山眼科中心海南眼科医院,中山大学中山眼科中心海南眼科医院,2026-09-05T02:37:05.759697+00:00,False,
cnha-cfdi-178e4af7c0a80333007a1e99b7a2da53,http://www.gxhospital.com/,unreadable,,,2026-09-05T02:36:34.107084+00:00,False,HTTP Error 509: 
cnha-cfdi-17b5389ac0a803330905d83b03a684c5,http://www.hnzhy.com/,readable,河南中医药大学第一附属医院,河南中医药大学第一附属医院,2026-09-05T02:37:04.928818+00:00,False,
cnha-cfdi-17c9c043c0a803330faf5ff5d6ea395b,http://www.gszyy.com/,unreadable,,,2026-09-05T02:36:32.219720+00:00,False,HTTP Error 404: Not Found
cnha-cfdi-18cb6e9ac0a8033363b0753f3cba5eee,http://www.gz8h.com.cn/,unreadable,,,2026-09-05T02:36:43.501287+00:00,False,<urlopen error [SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1081)>
cnha-cfdi-18e1e4e6c0a8033309dd544ae217ced3,https://www.jinshanhos.org.cn/,readable,复旦大学附属金山医院,复旦大学附属金山医院,2026-09-05T02:40:54.378361+00:00,False,
cnha-cfdi-19e0f103c0a803336ebd2c700e31ac50,http://www.cdsyy.com/,readable,常德市第一人民医院,常德市第一人民医院,2026-09-05T02:35:57.593288+00:00,False,
cnha-cfdi-1b0d359fc0a803334a1c241e97d2032c,http://www.jxndefy.cn/index.shtml,unreadable,,,2026-09-05T02:37:33.643581+00:00,False,timed out
cnha-cfdi-1cddfb03c0a803332664670577fb4a58,http://fcc.zzu.edu.cn/,unreadable,,,2026-09-05T02:35:18.594909+00:00,False,Remote end closed connection without response
cnha-cfdi-1d696d32c0a803331506764268553b23,https://www.sdhmdp.com,readable,苏州大学附属第四医院（苏州市独墅湖医院）,苏州大学附属第四医院 | 苏州大学附属第四医院 (苏州市独墅湖医院) | 苏州市独墅湖医院,2026-09-05T02:40:59.085381+00:00,False,
cnha-cfdi-1e4d48ddc0a803331fd38588d727499e,http://www.sgyy.com.cn/,readable,引导页-北京大学首钢医院,北京大学首钢医院,2026-09-05T02:38:45.122723+00:00,False,
