priority_rank,hospital_id,reported_name,candidate_hospital_id,candidate_canonical_name,matched_reference_name,similarity,decision,source_url
24,cnha-pending-865b65f77ddd694e,The First Affiliated Hospital of Soochow University,cnha-cfdi-b5cd6543c0a803330d96755e77d8daa5,苏州大学附属第一医院,First Affiliated Hospital of Soochow University,0.965517,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=9&pageSize=100
24,cnha-pending-865b65f77ddd694e,The First Affiliated Hospital of Soochow University,cnha-cfdi-1d696d32c0a803331506764268553b23,苏州大学附属第四医院,The Fourth Affiliated Hospital of Soochow University,0.945055,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=14&pageSize=100
24,cnha-pending-865b65f77ddd694e,The First Affiliated Hospital of Soochow University,cnha-ror-0358q4810,Ruihua Affiliated Hospital of Soochow University,Ruihua Affiliated Hospital of Soochow University,0.863636,review_required,https://ror.org/0358q4810
28,cnha-pending-ea44269cf5d0f2f6,"Zhongshan Hospital, Fudan University",cnha-cfdi-18e1e4e6c0a8033309dd544ae217ced3,复旦大学附属金山医院,Jinshan Hospital of Fudan University,0.875,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100
29,cnha-pending-91a5a54e1f332bd6,"Cancer Hospital, Chinese Academy of Medical Sciences",cnha-cfdi-31c61602c0a803336b55426e8e04a4da,中国医学科学院肿瘤医院,Cancer Hospital of Chinese Academy of Medical Sciences,0.978261,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100
34,cnha-pending-85de4d882cda37e1,"The First Affiliated Hospital , Zhejiang University, School of Medicine",cnha-ror-05m1p5x56,First Affiliated Hospital Zhejiang University,First Affiliated Hospital Zhejiang University,0.811881,review_required,https://ror.org/05m1p5x56
37,cnha-pending-7d6060d7b3cec138,The second Xiangya Hospital of Central South University,cnha-ror-053v2gh09,Second Xiangya Hospital of Central South University,Second Xiangya Hospital of Central South University,0.967742,review_required,https://ror.org/053v2gh09
37,cnha-pending-7d6060d7b3cec138,The second Xiangya Hospital of Central South University,cnha-ror-05akvb491,中南大学湘雅三医院-门急诊楼,Third Xiangya Hospital of Central South University,0.913043,review_required,https://ror.org/05akvb491
37,cnha-pending-7d6060d7b3cec138,The second Xiangya Hospital of Central South University,cnha-cfdi-3bb0a3b4c0a803332a9f6fc83950b0b0,中南大学湘雅医院,Xiangya Hospital Central South University,0.870588,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100
40,cnha-pending-784a9c9811b22555,Fujian Cancer Hospital,cnha-cfdi-8943f31ac0a80333354a0df6962a1108,福建省肿瘤医院,Fujian Provincial Cancer Hospital,0.8,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=7&pageSize=100
50,cnha-pending-2c782256529ea671,The First Hospital of China Medical University,cnha-cfdi-066b931bc0a8033351202887a2fd71fa,中国医科大学附属第一医院,First Hospital of China Medical University,0.961039,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100
50,cnha-pending-2c782256529ea671,The First Hospital of China Medical University,cnha-cfdi-20bf70afc0a803331d8b21c12f0aaad7,中国医科大学附属第四医院,Fourth Affiliated Hospital of China Medical University,0.840909,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=7&pageSize=100
52,cnha-pending-3618cbeac5624a9b,The Affiliated Hospital of Qingdao University,cnha-ror-026e9yy16,Affiliated Hospital of Qingdao University,Affiliated Hospital of Qingdao University,0.961039,review_required,https://ror.org/026e9yy16
53,cnha-pending-442794888d86af0b,The First Affiliated Hospital of Xiamen University,cnha-cfdi-f54478f4c0a803337f778cd3b4849179,厦门大学附属第一医院,First Affiliated Hospital of Xiamen University,0.964706,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100
55,cnha-pending-ea3d9ddfd3280e6c,The Third Xiangya Hospital of Central South University,cnha-ror-05akvb491,中南大学湘雅三医院-门急诊楼,Third Xiangya Hospital of Central South University,0.967033,review_required,https://ror.org/05akvb491
55,cnha-pending-ea3d9ddfd3280e6c,The Third Xiangya Hospital of Central South University,cnha-ror-053v2gh09,Second Xiangya Hospital of Central South University,Second Xiangya Hospital of Central South University,0.891304,review_required,https://ror.org/053v2gh09
55,cnha-pending-ea3d9ddfd3280e6c,The Third Xiangya Hospital of Central South University,cnha-cfdi-3bb0a3b4c0a803332a9f6fc83950b0b0,中南大学湘雅医院,Xiangya Hospital Central South University,0.880952,review_required,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100
57,cnha-pending-24326fb852c6aa28,The First Affiliated Hospital of Wenzhou Medical University,cnha-ror-03cyvdv85,First Affiliated Hospital of Wenzhou Medical University,First Affiliated Hospital of Wenzhou Medical University,0.970297,review_required,https://ror.org/03cyvdv85
