priority_rank,ranking_basis,hospital_id,canonical_name,official_name_zh,reference_name_zh,english_name,short_names,historical_names,parallel_names,province,city,ctg_trial_count,nmpa_trial_count,nmpa_count_scope,filing_number,ror_id,unified_social_credit_code,verification_status,filing_status,ror_status,official_review_completed,website,source_url,accessed_at,review_status,fields_to_check,review_decision,review_evidence_url,review_notes
1,ctg,cnha-cfdi-1ee7cbacc0a803333781c82ae9b72a5d,四川大学华西医院,四川大学华西医院,,West China Hospital of Sichuan University,WCH | 华西医院,华西医科大学附属第一医院 | 华西协合大学医院 | 四川医学院附属医院,四川大学华西临床医学院 | 四川省国际医院,四川省,成都市,1310,,unavailable,药临床机构备字2020000142,https://ror.org/007mrxy13,12510000450756139Y,official_filing,filed,active,True,https://www.wchscu.cn/,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,requested_identity_fields_reviewed,,,,
2,ctg,cnha-cfdi-5aade771c0a803334595b5c3428d53c9,中山大学肿瘤防治中心,中山大学肿瘤防治中心,中山大学肿瘤防治中心,Sun Yat-sen University Cancer Center,SYSUCC,,中山大学附属肿瘤医院,广东省,广州市,1243,,unavailable,药临床机构备字2020000213,https://ror.org/0400g8r85,,official_filing,filed,active,False,http://english.sysucc.org.cn/,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,official_fields_partially_reviewed,historical_names | unified_social_credit_code,,,
3,ctg,cnha-cfdi-f4272ec5c0a80333460485425a122d1d,中国医学科学院北京协和医院,中国医学科学院北京协和医院,北京协和医院,Peking Union Medical College Hospital,PUMCH,,,北京市,北京市,1175,,unavailable,药临床机构备字2020000347,https://ror.org/04jztag35,,official_filing,filed,active,False,http://www.pumch.cn/index.html,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=5&pageSize=100,2026-09-05,official_fields_partially_reviewed,historical_names | unified_social_credit_code,,,
4,ctg,cnha-cfdi-6dbec404c0a803332f72931bc454ee4e,北京肿瘤医院,北京肿瘤医院,北京大学肿瘤医院,Peking University Cancer Hospital,,,北京大学肿瘤医院 | 北京大学肿瘤医院互联网医院,北京市,北京市,1128,,unavailable,药临床机构备字2019000050,https://ror.org/00nyxxr91,,official_filing,filed,active,False,http://www.bjcancer.org/_English/Service.html,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100,2026-09-05,automated_triage_only,short_names | historical_names | unified_social_credit_code,,,
5,ctg,cnha-cfdi-baf67b59c0a8033336a1a7228617e8b5,复旦大学附属肿瘤医院,复旦大学附属肿瘤医院,,Fudan University Shanghai Cancer Center,FUSCC,,,上海市,上海市,1117,,unavailable,药临床机构备字2020000084,https://ror.org/00my25942,,official_filing,filed,active,False,http://www.shca.org.cn/english,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,official_fields_partially_reviewed,historical_names | unified_social_credit_code,,,
6,ctg,cnha-cfdi-28c180c3c0a803337c9a4eaf72b893ea,吉林大学第一医院,吉林大学第一医院,吉林大学第一医院,The First Hospital of Jilin University,,,,吉林省,长春市,845,,unavailable,药临床机构备字2020000193,https://ror.org/034haf133,,official_filing,filed,active,False,http://www.bethune-jilin.cn/,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,official_fields_partially_reviewed,short_names | historical_names | unified_social_credit_code,,,
7,ctg,cnha-cfdi-0eb581dec0a80333092f49dd1bd60215,河南省肿瘤医院,河南省肿瘤医院,河南省肿瘤医院,Henan Cancer Hospital,,,,河南省,郑州市,806,,unavailable,药临床机构备字2020000172,https://ror.org/043ek5g31,,official_filing,filed,active,False,http://www.anti-cancer.com.cn/,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,automated_triage_only,short_names | historical_names | unified_social_credit_code,,,
8,ctg,cnha-cfdi-877dc8a7c0a803335e9cc239fa3a0b8d,浙江省肿瘤医院,浙江省肿瘤医院,浙江省肿瘤医院,Zhejiang Cancer Hospital,,,,浙江省,杭州市,759,,unavailable,药临床机构备字2020000300,https://ror.org/0144s0951,,official_filing,filed,active,False,http://www.zchospital.com/#,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100,2026-09-05,automated_triage_only,short_names | historical_names | unified_social_credit_code,,,
9,ctg,cnha-cfdi-d5d39237c0a80333089149662db7a5be,北京大学人民医院,北京大学人民医院,北京大学人民医院,Peking University People's Hospital,PKUPH,中央医院 | 北京中央医院,北京大学第二临床医学院,北京市,北京市,739,,unavailable,药临床机构备字2020000497,https://ror.org/035adwg89,,official_filing,filed,active,False,http://www.pkuph.cn/,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=6&pageSize=100,2026-09-05,automated_triage_only,unified_social_credit_code,,,
10,ctg,cnha-cfdi-37551ed6c0a803335a0094ca2f2a9999,北京大学第三医院,北京大学第三医院,北京大学第三医院,Peking University Third Hospital,PUTH,,,北京市,北京市,728,,unavailable,药临床机构备字2020000091,https://ror.org/04wwqze12,,official_filing,filed,active,False,http://www.med.monash.edu.au/sphc/mchi/partners/cn-h-pku3.html,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,automated_triage_only,historical_names | unified_social_credit_code,,,
