hospital_id,official_name,candidate_alias,source_url,status,reason
cnha-cfdi-00d8af18c0a803330e3c694eb2196aae,临清市人民医院,People’s Hospital of Linqing,https://ror.org/01j2e9t73,review_required,Reference-only name; not approved for resolution
cnha-cfdi-01483885c0a80333753cc766ecffe4b4,湖北省妇幼保健院（湖北省妇女儿童医院）,Hubei MCH,https://ror.org/03323pz98,review_required,Reference-only name; not approved for resolution
cnha-cfdi-01483885c0a80333753cc766ecffe4b4,湖北省妇幼保健院（湖北省妇女儿童医院）,Hubei Province Hospital,https://ror.org/03323pz98,review_required,Reference-only name; not approved for resolution
cnha-cfdi-01483885c0a80333753cc766ecffe4b4,湖北省妇幼保健院（湖北省妇女儿童医院）,Hubei Provincial Women and Children's Hospital,https://ror.org/03323pz98,review_required,Reference-only name; not approved for resolution
cnha-cfdi-019d275ec0a803337282d3a0c06b7c4c,三亚中心医院（海南省第三人民医院）,Sanya Central Hospital,https://ror.org/03t65z939,review_required,Reference-only name; not approved for resolution
cnha-cfdi-019d275ec0a803337282d3a0c06b7c4c,三亚中心医院（海南省第三人民医院）,The Third People's Hospital of Hainan Province,https://ror.org/03t65z939,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0204cf4ec0a8033354aff48acff76e63,襄阳市中医医院（襄阳市中医药研究所）,襄阳市中医药研究所,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-021e8132c0a8033359bc9e716a57d0a7,南方医科大学中西医结合医院,Southern Hospital of Integrated Traditional Chinese and Western Medicine,https://ror.org/030xn5j74,review_required,Reference-only name; not approved for resolution
cnha-cfdi-021e8132c0a8033359bc9e716a57d0a7,南方医科大学中西医结合医院,TCM-Intigrated Cancer Center of Southern Medical University,https://ror.org/030xn5j74,review_required,Reference-only name; not approved for resolution
cnha-cfdi-02943794c0a80333107ca198e86e5766,中国中医科学院眼科医院,China Academy of Traditional Chinese Medicine Hospital of Ophthalmology,https://ror.org/04x5anb81,review_required,Reference-only name; not approved for resolution
cnha-cfdi-034b5767c0a803337498df639f33cbd4,陕西省第二人民医院,Second Peoples Hospital of Shaanxi Province,https://ror.org/03hwa6484,review_required,Reference-only name; not approved for resolution
cnha-cfdi-035af3a9c0a80333643874c85a536742,成都医学院第一附属医院,First Affiliated Hospital of Chengdu Medical College,https://ror.org/03jckbw05,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0368c31ec0a803332e3a00811faed34d,宾县人民医院  (宾县医共体总医院）,宾县医共体总医院,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-037384d3c0a803331f397cbb06c31c7e,宁波市第六医院,Ningbo No.6 Hospital,https://ror.org/054qnke07,review_required,Reference-only name; not approved for resolution
cnha-cfdi-03936a7cc0a803336ea258b096c459d4,中国中医科学院西苑医院,Xiyuan Hospital,https://ror.org/02y0vze35,review_required,Reference-only name; not approved for resolution
cnha-cfdi-042323dec0a8033323262e1b2d9a6d4c,威海市妇幼保健院,Weihai Maternal and Child Health Hospital,https://ror.org/0384ea937,review_required,Reference-only name; not approved for resolution
cnha-cfdi-042323dec0a8033323262e1b2d9a6d4c,威海市妇幼保健院,Weihai Municipal Second Hospital,https://ror.org/0384ea937,review_required,Reference-only name; not approved for resolution
cnha-cfdi-04e3be8bc0a80333183ed2b535c3e007,邢台市骨科医院（华北医疗健康集团邢台总医院  华北医疗健康集团邢台总医院互联网医院）,华北医疗健康集团邢台总医院  华北医疗健康集团邢台总医院互联网医院,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-066b931bc0a8033351202887a2fd71fa,中国医科大学附属第一医院,First Affiliated Hospital of China Medical University,https://ror.org/04wjghj95,review_required,Reference-only name; not approved for resolution
cnha-cfdi-066b931bc0a8033351202887a2fd71fa,中国医科大学附属第一医院,First Hospital of China Medical University,https://ror.org/04wjghj95,review_required,Reference-only name; not approved for resolution
cnha-cfdi-073ac2adc0a803332217c5cf5a33c89e,绍兴市妇幼保健院（绍兴市妇女儿童医院，绍兴市妇幼保健院互联网医院）,绍兴市妇幼保健院互联网医院,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-073ac2adc0a803332217c5cf5a33c89e,绍兴市妇幼保健院（绍兴市妇女儿童医院，绍兴市妇幼保健院互联网医院）,Shaoxing City Women and Children Hospital,https://ror.org/01hvjym56,review_required,Reference-only name; not approved for resolution
cnha-cfdi-073ac2adc0a803332217c5cf5a33c89e,绍兴市妇幼保健院（绍兴市妇女儿童医院，绍兴市妇幼保健院互联网医院）,"Shaoxing City, MCH",https://ror.org/01hvjym56,review_required,Reference-only name; not approved for resolution
cnha-cfdi-073ac2adc0a803332217c5cf5a33c89e,绍兴市妇幼保健院（绍兴市妇女儿童医院，绍兴市妇幼保健院互联网医院）,Shaoxing Maternity & Child Health Hospital,https://ror.org/01hvjym56,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0760f716c0a8033319b4c71d741cd396,南通大学附属医院,Affiliated Hospital of Nantong University,https://ror.org/001rahr89,review_required,Reference-only name; not approved for resolution
cnha-cfdi-076aa611c0a803330a764cb7d6874b80,三门县人民医院（三门县人民医院医疗卫生服务共同体）,三门县人民医院医疗卫生服务共同体,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-08832019c0a80333391fcbf3d4e5c1ee,厦门长庚医院,Xiamen Chang Gung Hospital,https://ror.org/048nc2z47,review_required,Reference-only name; not approved for resolution
cnha-cfdi-08a768bdc0a80333736f1b44bd8017df,九江市妇幼保健院（九江市儿童医院、九江市妇幼保健计划生育服务中心）,九江市妇幼保健计划生育服务中心,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=17&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-08a768bdc0a80333736f1b44bd8017df,九江市妇幼保健院（九江市儿童医院、九江市妇幼保健计划生育服务中心）,Daford Hospital,https://ror.org/04knktv12,review_required,Reference-only name; not approved for resolution
cnha-cfdi-08a768bdc0a80333736f1b44bd8017df,九江市妇幼保健院（九江市儿童医院、九江市妇幼保健计划生育服务中心）,Jiujiang Maternal and Child Care Centres,https://ror.org/04knktv12,review_required,Reference-only name; not approved for resolution
cnha-cfdi-08be960ec0a8033305d325d8cfa7b761,广东省职业病防治院,Guangdong Provincial Occupational Disease Prevention Hospital,https://ror.org/00d9m6s48,review_required,Reference-only name; not approved for resolution
cnha-cfdi-09f3032ac0a8033300069fa609075bf2,北京大学口腔医院,Peking University Stomatological Hospital,https://ror.org/00s2xkh70,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0b0c702ac0a803331bfa908b88234450,吉林省人民医院,Jilin People's Hospital,https://ror.org/00n5w1596,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0b0c702ac0a803331bfa908b88234450,吉林省人民医院,People 's Hospital of Jilin Province,https://ror.org/00n5w1596,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0b707dd0c0a8033311cd017b78273291,潍坊市人民医院,Weifang People's Hospital,https://ror.org/01xd2tj29,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0b91b6edc0a8033315b41f749cbdd82f,鄂尔多斯市中心医院（内蒙古自治区超声影像研究所）,内蒙古自治区超声影像研究所,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=17&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0c73261fc0a80333131c13ca2a828824,中山大学附属口腔医院,"Hospital of Stomatology, Sun Yat-sen University",https://ror.org/04bswr545,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0cf24949c0a803332821abbd34763079,枣庄市立医院,Zaozhuang Municipal Hospital,https://ror.org/01nvdh647,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0d8fe814c0a8033364c56253e6a6cc5a,西安市红会医院,Xi'an Honghui Hospital,https://ror.org/015bnwc11,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0d8fe814c0a8033364c56253e6a6cc5a,西安市红会医院,Xi'an Red Cross Hospital,https://ror.org/015bnwc11,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0d9e9d19c0a803332f2e459fefe8ecda,大连理工大学附属肿瘤医院（辽宁省肿瘤医院、辽宁省肿瘤研究所）,辽宁省肿瘤研究所,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0d9e9d19c0a803332f2e459fefe8ecda,大连理工大学附属肿瘤医院（辽宁省肿瘤医院、辽宁省肿瘤研究所）,Cancer Hospital of Dalian University of Technology,https://ror.org/05d659s21,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0d9e9d19c0a803332f2e459fefe8ecda,大连理工大学附属肿瘤医院（辽宁省肿瘤医院、辽宁省肿瘤研究所）,Liaoning Cancer Hospital & Institute,https://ror.org/05d659s21,review_required,Reference-only name; not approved for resolution
cnha-cfdi-0db8a76bc0a8033343b0ed0176df3d0f,河南省胸科医院,Henan Provincial Chest Hospital,https://ror.org/04d3sf574,review_required,Reference-only name; not approved for resolution
