hospital_id,official_name,filing_number,alias,normalized_alias,kind,evidence_status,source_url,accessed_at,valid_from,valid_to
cnha-cfdi-000aedc9c0a803335a2fafee6c48cc40,麻城市人民医院,药临床机构备字2026000066,麻城市人民医院,麻城市人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,,
cnha-cfdi-009e135ac0a8033336f22321f58a0acf,北大荒集团建三江医院,药临床机构备字2026000122,北大荒集团建三江医院,北大荒集团建三江医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,,
cnha-cfdi-00d6817bc0a8033337402001af0a9db9,株洲市妇幼保健院,药临床机构备字2024000120,株洲市妇幼保健院,株洲市妇幼保健院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,,
cnha-cfdi-00d8af18c0a803330e3c694eb2196aae,临清市人民医院,药临床机构备字2026000026,临清市人民医院,临清市人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,,
cnha-cfdi-00dd9d6cc0a80333655e3cf356040981,九江市第一人民医院,药临床机构备字2020000122,九江市第一人民医院,九江市第一人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,,
cnha-cfdi-0134209cc0a803333f9d3f2ff5e6d540,大连大学附属中山医院,药临床机构备字2020000269,大连大学附属中山医院,大连大学附属中山医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100,2026-09-05,,
cnha-cfdi-01483885c0a80333753cc766ecffe4b4,湖北省妇幼保健院（湖北省妇女儿童医院）,药临床机构备字2021000178,湖北省妇幼保健院（湖北省妇女儿童医院）,湖北省妇幼保健院湖北省妇女儿童医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=12&pageSize=100,2026-09-05,,
cnha-cfdi-01483885c0a80333753cc766ecffe4b4,湖北省妇幼保健院（湖北省妇女儿童医院）,药临床机构备字2021000178,湖北省妇女儿童医院,湖北省妇女儿童医院,parallel_name,official_source_reviewed,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=12&pageSize=100,2026-09-05,,
cnha-cfdi-01483885c0a80333753cc766ecffe4b4,湖北省妇幼保健院（湖北省妇女儿童医院）,药临床机构备字2021000178,湖北省妇幼保健院,湖北省妇幼保健院,official_variant,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=12&pageSize=100,2026-09-05,,
cnha-cfdi-0163c2b0c0a803331ec564e83464d5d9,湘雅常德医院药物临床试验机构,药临床机构备字2021000046,湘雅常德医院药物临床试验机构,湘雅常德医院药物临床试验机构,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=11&pageSize=100,2026-09-05,,
cnha-cfdi-0167b160c0a8033327f5d32a5f94e8bb,云浮市人民医院,药临床机构备字2024000038,云浮市人民医院,云浮市人民医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,,
cnha-cfdi-017d5690c0a8033349cda12df77eb1ef,牡丹江市肿瘤医院,药临床机构备字2021000003,牡丹江市肿瘤医院,牡丹江市肿瘤医院,canonical,official_filing,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=10&pageSize=100,2026-09-05,,
