hospital_id,official_name_zh,filing_number,filing_status,identity_confirmation_status,english_name,english_review_status,approved_alias_count,pending_aliases_json,all_identity_fields_reviewed,source_url,accessed_at,scope
cnha-cfdi-000aedc9c0a803335a2fafee6c48cc40,麻城市人民医院,药临床机构备字2026000066,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-009e135ac0a8033336f22321f58a0acf,北大荒集团建三江医院,药临床机构备字2026000122,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-00d6817bc0a8033337402001af0a9db9,株洲市妇幼保健院,药临床机构备字2024000120,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-00d8af18c0a803330e3c694eb2196aae,临清市人民医院,药临床机构备字2026000026,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,"[{""hospital_id"": ""cnha-cfdi-00d8af18c0a803330e3c694eb2196aae"", ""official_name"": ""临清市人民医院"", ""candidate_alias"": ""People’s Hospital of Linqing"", ""source_url"": ""https://ror.org/01j2e9t73"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-00dd9d6cc0a80333655e3cf356040981,九江市第一人民医院,药临床机构备字2020000122,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0134209cc0a803333f9d3f2ff5e6d540,大连大学附属中山医院,药临床机构备字2020000269,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-01483885c0a80333753cc766ecffe4b4,湖北省妇幼保健院（湖北省妇女儿童医院）,药临床机构备字2021000178,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,2,"[{""hospital_id"": ""cnha-cfdi-01483885c0a80333753cc766ecffe4b4"", ""official_name"": ""湖北省妇幼保健院（湖北省妇女儿童医院）"", ""candidate_alias"": ""Hubei MCH"", ""source_url"": ""https://ror.org/03323pz98"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}, {""hospital_id"": ""cnha-cfdi-01483885c0a80333753cc766ecffe4b4"", ""official_name"": ""湖北省妇幼保健院（湖北省妇女儿童医院）"", ""candidate_alias"": ""Hubei Province Hospital"", ""source_url"": ""https://ror.org/03323pz98"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}, {""hospital_id"": ""cnha-cfdi-01483885c0a80333753cc766ecffe4b4"", ""official_name"": ""湖北省妇幼保健院（湖北省妇女儿童医院）"", ""candidate_alias"": ""Hubei Provincial Women and Children's Hospital"", ""source_url"": ""https://ror.org/03323pz98"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=12&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0163c2b0c0a803331ec564e83464d5d9,湘雅常德医院药物临床试验机构,药临床机构备字2021000046,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=11&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0167b160c0a8033327f5d32a5f94e8bb,云浮市人民医院,药临床机构备字2024000038,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-017d5690c0a8033349cda12df77eb1ef,牡丹江市肿瘤医院,药临床机构备字2021000003,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=10&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
