canonical_reported_name,province_reported,city_reported,trial_count,active_trial_count,name_variants,resolution_status,candidate_count,first_trial_id,source_url,review_reason,candidates_json
Fudan University Shanghai Cancer Center,Shanghai Municipality,Shanghai,703,394,"Fudan University Shanghai Cancer Center | Fudan University Shanghai Cancer center | FuDan University Shanghai Cancer Center | Fudan University ShangHai Cancer Center | Fudan University shanghai cancer center | Fudan university shanghai cancer center | Fudan university Shanghai cancer center | Fudan University Shanghai cancer center | Fudan University shanghai Cancer Center | Fudan university Shanghai Cancer Center | Fudan University Shanghai Cancer Center, | Fudan University Shanghai Cancer Center- | Fudan University Shanghai Cancer Center. | Fudan University, Shanghai Cancer Center",matched_location_conflict,1,NCT00999843,https://clinicaltrials.gov/study/NCT00999843,"Approved name found, but reported location did not pass filters; review spelling, missing location aliases and actual conflicts","[{""hospital_id"": ""cnha-cfdi-baf67b59c0a8033336a1a7228617e8b5"", ""official_name"": ""复旦大学附属肿瘤医院"", ""filing_number"": ""药临床机构备字2020000084"", ""province"": ""上海市"", ""city"": ""上海市"", ""matched_alias"": ""Fudan University Shanghai Cancer Center""}]"
Peking Union Medical College Hospital,Beijing Municipality,Beijing,696,323,"Peking Union Medical College Hospital | Peking union medical college hospital | Peking Union medical college hospital | Peking Union Medical College Hospital, | PekingUnionMedicalCollegeHospital",matched_location_conflict,1,NCT00327717,https://clinicaltrials.gov/study/NCT00327717,"Approved name found, but reported location did not pass filters; review spelling, missing location aliases and actual conflicts","[{""hospital_id"": ""cnha-cfdi-f4272ec5c0a80333460485425a122d1d"", ""official_name"": ""中国医学科学院北京协和医院"", ""filing_number"": ""药临床机构备字2020000347"", ""province"": ""北京市"", ""city"": ""北京市"", ""matched_alias"": ""Peking Union Medical College Hospital""}]"
Henan Cancer Hospital,He'Nan,Zhengzhou,624,307,"Henan Cancer Hospital | Henan cancer hospital | He'nan Cancer Hospital | Henan Cancer Hospital. | Henan Cancer hospital | Henan cancer Hospital | Henan cancer hospital,",unmatched,0,NCT01074021,https://clinicaltrials.gov/study/NCT01074021,,[]
Beijing Cancer Hospital,Beijing Municipality,Beijing,622,302,Beijing Cancer Hospital | Beijing Cancer hospital | Beijing cancer hospital | Beijing cancer Hospital | BeijingCancer Hospital | BeiJing Cancer Hospital,unmatched,0,NCT00642239,https://clinicaltrials.gov/study/NCT00642239,,[]
Zhejiang Cancer Hospital,Zhejiang,Hangzhou,604,302,Zhejiang Cancer Hospital | Zhejiang cancer hospital | ZheJiang Cancer Hospital | Zhejiang Cancer hospital | Zhejiang cancer Hospital | Zhe Jiang Cancer Hospital,unmatched,0,NCT00492843,https://clinicaltrials.gov/study/NCT00492843,,[]
Hunan Cancer Hospital,Hu'Nan,Changsha,518,245,Hunan Cancer Hospital | Hunan Cancer hospital | Hunan cancer hospital | Hunan cancer Hospital | Hunan Cancer Hospital. | HuNan Cancer Hospital | HunanCancer Hospital | Hu'nan Cancer Hospital,unmatched,0,NCT00912444,https://clinicaltrials.gov/study/NCT00912444,,[]
Peking University First Hospital,Beijing Municipality,Beijing,433,162,Peking University First Hospital | Peking university first hospital | Peking University first hospital | Peking University First Hospital. | PeKing University First Hospital | Peking University First hospital,matched_location_conflict,1,NCT00327717,https://clinicaltrials.gov/study/NCT00327717,"Approved name found, but reported location did not pass filters; review spelling, missing location aliases and actual conflicts","[{""hospital_id"": ""cnha-cfdi-88d3b2b8c0a803331b12a6cc08d63a3f"", ""official_name"": ""北京大学第一医院"", ""filing_number"": ""药临床机构备字2020000910"", ""province"": ""北京市"", ""city"": ""北京市"", ""matched_alias"": ""Peking University First Hospital""}]"
Peking University Third Hospital,Beijing Municipality,Beijing,426,163,Peking University Third Hospital | Peking university third hospital | Peking University third Hospital | Peking University third hospital | Peking university Third Hospital | Peking University Third hospital | Peking university Third hospital,unmatched,0,NCT00664846,https://clinicaltrials.gov/study/NCT00664846,,[]
Peking University People's Hospital,Beijing Municipality,Beijing,423,170,Peking University People's Hospital | Peking University Peoples Hospital | Peking University People'S Hospital | Peking university people's hospital | Peking University People's hospital | Peking university People's Hospital | Peking University People 's Hospital | Peking University people's hospital | Peking university people's Hospital,unmatched,0,NCT00796692,https://clinicaltrials.gov/study/NCT00796692,,[]
Qilu Hospital of Shandong University,Shandong,Ji'nan,384,189,Qilu Hospital of Shandong University | Qilu hospital of Shandong University | QiLu Hospital of Shandong University | Qilu Hospital Of Shandong University | Qilu Hospital of Shandong university | Qilu hospital of shandong university | Qi Lu Hospital of Shandong University | Qilu hospital of Shandong university | QiLu Hospital of Shan Dong University | QILU Hospital Of Shandong University | QILU Hospital of Shandong University | QIlu hospital of shandong university | Qilu Hospitalof Shandong University,unmatched,0,NCT00413699,https://clinicaltrials.gov/study/NCT00413699,,[]
