baseline_rank,canonical_reported_name,province_reported,city_reported,trial_count_within_name_group,trial_example_url,name_verification_status,location_verification_status,official_hospital_id,official_name,filing_number,approved_name_evidence_json,unapproved_reference_leads_json,next_action,check_method
1,Fudan University Shanghai Cancer Center,Shanghai Municipality,Shanghai,703,https://clinicaltrials.gov/study/NCT00999843,verified_name_relation,passes_available_location_filters,cnha-cfdi-baf67b59c0a8033336a1a7228617e8b5,复旦大学附属肿瘤医院,药临床机构备字2020000084,"[{""hospital_id"": ""cnha-cfdi-baf67b59c0a8033336a1a7228617e8b5"", ""official_name"": ""复旦大学附属肿瘤医院"", ""filing_number"": ""药临床机构备字2020000084"", ""alias"": ""Fudan University Shanghai Cancer Center"", ""normalized_alias"": ""fudanuniversityshanghaicancercenter"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.shca.org.cn/english/channel/index/1108.shtml"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
2,Peking Union Medical College Hospital,Beijing Municipality,Beijing,696,https://clinicaltrials.gov/study/NCT00327717,verified_name_relation,passes_available_location_filters,cnha-cfdi-f4272ec5c0a80333460485425a122d1d,中国医学科学院北京协和医院,药临床机构备字2020000347,"[{""hospital_id"": ""cnha-cfdi-f4272ec5c0a80333460485425a122d1d"", ""official_name"": ""中国医学科学院北京协和医院"", ""filing_number"": ""药临床机构备字2020000347"", ""alias"": ""Peking Union Medical College Hospital"", ""normalized_alias"": ""pekingunionmedicalcollegehospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.pumch.cn/en/detail/43267.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
3,Henan Cancer Hospital,He'Nan,Zhengzhou,624,https://clinicaltrials.gov/study/NCT01074021,verified_name_relation,passes_available_location_filters,cnha-cfdi-0eb581dec0a80333092f49dd1bd60215,河南省肿瘤医院,药临床机构备字2020000172,"[{""hospital_id"": ""cnha-cfdi-0eb581dec0a80333092f49dd1bd60215"", ""official_name"": ""河南省肿瘤医院"", ""filing_number"": ""药临床机构备字2020000172"", ""alias"": ""Henan Cancer Hospital"", ""normalized_alias"": ""henancancerhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://sph.zzu.edu.cn/__local/8/D2/E4/B40A50DD335F88E127634992A9C_5D5E4F16_13B55B.pdf"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
4,Beijing Cancer Hospital,Beijing Municipality,Beijing,622,https://clinicaltrials.gov/study/NCT00642239,verified_name_relation,passes_available_location_filters,cnha-cfdi-6dbec404c0a803332f72931bc454ee4e,北京肿瘤医院、北京大学肿瘤医院、北京大学肿瘤医院互联网医院,药临床机构备字2019000050,"[{""hospital_id"": ""cnha-cfdi-6dbec404c0a803332f72931bc454ee4e"", ""official_name"": ""北京肿瘤医院、北京大学肿瘤医院、北京大学肿瘤医院互联网医院"", ""filing_number"": ""药临床机构备字2019000050"", ""alias"": ""Beijing Cancer Hospital"", ""normalized_alias"": ""beijingcancerhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.bjcancer.org/Html/News/Articles/1000208.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
5,Zhejiang Cancer Hospital,Zhejiang,Hangzhou,604,https://clinicaltrials.gov/study/NCT00492843,verified_name_relation,passes_available_location_filters,cnha-cfdi-877dc8a7c0a803335e9cc239fa3a0b8d,浙江省肿瘤医院,药临床机构备字2020000300,"[{""hospital_id"": ""cnha-cfdi-877dc8a7c0a803335e9cc239fa3a0b8d"", ""official_name"": ""浙江省肿瘤医院"", ""filing_number"": ""药临床机构备字2020000300"", ""alias"": ""Zhejiang Cancer Hospital"", ""normalized_alias"": ""zhejiangcancerhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.zchospital.com/cn/scientific/info/134"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
6,Hunan Cancer Hospital,Hu'Nan,Changsha,518,https://clinicaltrials.gov/study/NCT00912444,verified_name_relation,passes_available_location_filters,cnha-cfdi-56da0c76c0a8033378166121ef596120,湖南省肿瘤医院,药临床机构备字2020000150,"[{""hospital_id"": ""cnha-cfdi-56da0c76c0a8033378166121ef596120"", ""official_name"": ""湖南省肿瘤医院"", ""filing_number"": ""药临床机构备字2020000150"", ""alias"": ""Hunan Cancer Hospital"", ""normalized_alias"": ""hunancancerhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://en.csu.edu.cn/About/Overview.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
7,Peking University First Hospital,Beijing Municipality,Beijing,433,https://clinicaltrials.gov/study/NCT00327717,verified_name_relation,passes_available_location_filters,cnha-cfdi-88d3b2b8c0a803331b12a6cc08d63a3f,北京大学第一医院,药临床机构备字2020000910,"[{""hospital_id"": ""cnha-cfdi-88d3b2b8c0a803331b12a6cc08d63a3f"", ""official_name"": ""北京大学第一医院"", ""filing_number"": ""药临床机构备字2020000910"", ""alias"": ""Peking University First Hospital"", ""normalized_alias"": ""pekinguniversityfirsthospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://research.bjmu.edu.cn/jdpt/jdml/bwjkyjd/jybzdsys/db6fda93d7b548ee841293259ba29f77.htm"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
8,Peking University Third Hospital,Beijing Municipality,Beijing,426,https://clinicaltrials.gov/study/NCT00664846,verified_name_relation,passes_available_location_filters,cnha-cfdi-37551ed6c0a803335a0094ca2f2a9999,北京大学第三医院,药临床机构备字2020000091,"[{""hospital_id"": ""cnha-cfdi-37551ed6c0a803335a0094ca2f2a9999"", ""official_name"": ""北京大学第三医院"", ""filing_number"": ""药临床机构备字2020000091"", ""alias"": ""Peking University Third Hospital"", ""normalized_alias"": ""pekinguniversitythirdhospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://www.puh3.net.cn/english/"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
9,Peking University People's Hospital,Beijing Municipality,Beijing,423,https://clinicaltrials.gov/study/NCT00796692,verified_name_relation,passes_available_location_filters,cnha-cfdi-d5d39237c0a80333089149662db7a5be,北京大学人民医院（北京大学第二临床医学院）,药临床机构备字2020000497,"[{""hospital_id"": ""cnha-cfdi-d5d39237c0a80333089149662db7a5be"", ""official_name"": ""北京大学人民医院（北京大学第二临床医学院）"", ""filing_number"": ""药临床机构备字2020000497"", ""alias"": ""Peking University People's Hospital"", ""normalized_alias"": ""pekinguniversitypeopleshospital"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://english.pkuph.cn/events_detail/581.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],Retain source-backed name mapping; assess actual study/campus scope separately when needed,deterministic reconciliation of source-reviewed assertions; not a new manual source review
10,Qilu Hospital of Shandong University,Shandong,Ji'nan,384,https://clinicaltrials.gov/study/NCT00413699,verified_name_relation,requires_location_review,,,,"[{""hospital_id"": ""cnha-cfdi-3ca9ee0fc0a803331e2817e89dd297d8"", ""official_name"": ""山东大学齐鲁医院"", ""filing_number"": ""药临床机构备字2019000031"", ""alias"": ""Qilu Hospital of Shandong University"", ""normalized_alias"": ""qiluhospitalofshandonguniversity"", ""kind"": ""english_name"", ""evidence_status"": ""official_source_reviewed"", ""source_url"": ""https://qiluhospital.com/show-313-17491-1.html"", ""accessed_at"": ""2026-09-05"", ""valid_from"": """", ""valid_to"": """"}]",[],"Verify reported province, city and campus against the study record before assigning an institution ID",deterministic reconciliation of source-reviewed assertions; not a new manual source review
